Company / Client Name,Region,Industry Name,Service Name,Case Study Title,One-Line Summary / Core Focus,Business Context,Solution,Business Impact & Key Metrics,Tech Stack
Real Time Insights for EPL,APAC,Manufacturing & Mining (MM),Infra Modernization,Real Time Insights for EPL,"Utilizing AWS data solutions like Redshift, AWS glue jobs and integrating them with power PI for actionable insights","Migrate the data from on-prem databases to Cloud Transform and perform analytics on IOT data coming from different factories into on-premise databases - MongoDB, Postgres and SAP Database. Centralized platform for data consolidation and reporting Intelligent insights on transformed data and dashboards for exploring and visualizing the data to allow business users for daily monitoring of processes","Developed data pipelines using DMS to migrate real-time data from MongoDB and Postgres to AWS Redshift. AWS Glue jobs to transfer data from SAP to AWS Redshift using OData connectivity, scheduled to run twice in a day. Integrated Redshift with Power BI, one real time and one batch dashboard that provides end to end monitoring of various business processes at machine and plant level. Optimization of the SQL Queries to enhance the performance of the dashboards on the Power BI Service","Deployment of AWS infrastructure as per best practices Near real-time data sync from Postgres & MongoDB to Redshift, along with data integration with SAP Deployment of dashboards in PowerBI to showcase insights on real-time data for actionable insights Manufacturing I Infra Modernization",
Coromandel,India,Manufacturing & Mining (MM),Data & Analytics,Data Lake Implementation for a Fertilizer Company,Deployment of the Redshift and migration to cloud data lake,Coromandel had multiple data sources in their infrastructure. Digital transformation to be done with the migration of the on-premise MySQL databases to cloud data lake / warehouse. Current reporting framework was manual which had to be automated. Data pipelines commencing from the base data sources till the final dashboard to be implemented,Amazon Redshift was the proposed data warehouse AWS Glue / EMR was used to process and transform the data AWS DMS was used for the historical load and incremental load Amazon Sagemaker can be used for developing and deploying analytical models Power BI visualizations were developed on Redshift data for different analytical use cases,Efficient monitoring of the regional sales performance More control on the data-pipelines. Centralized data in AWS. Historical data analytics helped in getting important insights Optimization of data model and operational efficiency. Manufacturing | Data & Analytics,
BI Coromandel,APAC,Manufacturing & Mining (MM),Data & Analytics,Data Warehouse for fertilizer company,"Improved customer experience and real time analytics for decision making with Redshift, sagemaker and power BI",Coromandel had multiple data sources in their infrastructure. Digital transformation to be done with the migration of the on-premise MySQL databases to cloud data lake / warehouse. Current reporting framework was manual which had to be automated. Data pipelines commencing from the base data sources till the final dashboard to be implemented,Amazon Redshift was the proposed data warehouse AWS Glue / EMR was used to process and transform the data AWS DMS was used for the historical load and incremental load Amazon Sagemaker can be used for developing and deploying analytical models Power BI visualizations were developed on Redshift data for different analytical cases,Improved customer experience. More control on the data-pipelines. Centralized data in Cloud. Real-time analytics and quick decision making. Optimization and operational efficiency. Manufacturing | Data & Analytics,
Firebase Arlo,AMER,Manufacturing & Mining (MM),Data & Analytics,Flexible & Improved Analytics for Arlo,Leverage BQ with Tableau for faster and improved insights integrating using Firebase,Arlo decided to improve their existing capabilities on Firebase by: Building a data warehouse on GCP to ingest data from Firebase while optimizing cost and efficiency. Integrating Firebase with BigQuery for deeper analytics and creating dashboards of key performance metrics on Tableau with the end goal to improve Arlo's end-user experience.,"Firebase is considered as an input from where the data is being ingested into a pre-processed dataset of BigQuery. From the pre-processed dataset, the data is refined through pipelines and the processed dataset is staged in a master dataset in BigQuery. Materialized views are created on the master dataset keeping cost optimization in consideration. Tableau is integrated with BigQuery and the views are used as data source for the visualization dashboards.","Integrating Firebase data helped in demonstrating user experience journeys. This data is crucial to analyze and find patterns that can help Arlo improve their processes and codebase. Since the Firebase console limits the flexibility to query data at will, we ingested data into Bigquery to further build dashboards in Tableau. Manufacturing | Data & Analytics",
Central Data Lake Colive,APAC,Manufacturing & Mining (MM),Data & Analytics,Monitoring Sales Performance for Rental Service,Creating ETL pipelines to push data from multiple data sources to Amazon S3 & Redshift to create a Central Data Lake,"Colive had multiple data sources in their infrastructure during project execution phase on which they wanted to implement a data lake solution. Implement ETL pipelines to integrate all their unstructured and semi structured data. Leverage AWS components that can scale up or down based on demand and being backed by highly scalable infrastructure, so that they can have access to compute and storage resources when needed.","Data replication using Matillion from the data sources in Google Analytics, Google Adwords, MS SQL to Amazon Redshift and then unload to S3, thereby setting up a Data Lake. Integrated Redshift with Microsoft Power BI and worked towards creating a data model as per the business wireframes designed by BI team on basis of requirements shared..",Efficient monitoring of the regional sales performance More control on the data-pipelines. Centralized data in AWS. Historical data analytics helped in getting important insights Optimization of data model and operational efficiency. Manufacturing | Data & Analytics,
Report generation,APAC,Manufacturing & Mining (MM),Data & Analytics,Migration of Oracle BI reports to BigQuery,Migrated required data from Oracle SaaS to BigQuery & subsequently optimised the report query in BigQuery to generate the desired output.,Report generation was taking several hours (7-8hrs) in Oracle ERP SaaS. Client wanted to optimise the query and improve the report performance Client wanted to check feasibility and technical fitment of BigQuery for faster analytics & reporting,One time historical load of 26 tables data from Oracle SaaS ( via Oracle BI Publisher in CSV format) to BigQuery Created micro batches using ESS jobs based on date & org name to extract data from transactional tables Replaced several subqueries with temporary tables to reduce resource consumption and simplify data analysis GDS was integrated with BigQuery to showcase visualization capabilities,"Shifted the report workloads to GCP, saved overall cost and accelerated their operational performance Query execution time on BigQuery reduced to ~40 seconds compared to 7-8 hrs on Oracle BI Publisher Scalable data & analytics solution to support future growth Manufacturing | Data & Analytics",
Data Warehouse Modernization,APAC,Manufacturing & Mining (MM),Data & Analytics,Data Warehouse Modernization,Built a centralized data warehouse on BigQuery by ingesting data from multiple sources for reporting and analytical purposes.,"A centralized data warehouse is needed to ingest data from multiple sources including SAP, MongoDB, Firebase and various other in-house APIs which can be used for analytics and reporting. Customer data from multiple sources needs to be aggregated and send to an object storage, which can be used as a source for the Customer Data Platform.","Implement a centralized Data Warehouse on Bigquery, either pulling data from multiple sources using cloud functions, or data being pushed into a cloud functions endpoint from external sources. Developed data pipeline using workflows and Cloud Functions to ingest CDP data incrementally into GCS, which is being used as a source by Salesforce. Developed data pipelines to Ingest bike booking data from Firebase Firestore to BigQuery.","Modernized data warehouse. Various campaign use-cases keep customers involved with specialized offers, and updated from the retailer. Scalable data & analytics solution for future growth Manufacturing | Data & Analytics",
Connecting Wind Turbines to Increase Productivity,APAC,Manufacturing & Mining (MM),Applied AI,Connecting Wind Turbines to Increase Productivity,"Better efficiency in energy, productivity, finance - Cloud IOT exhibition","Operational issues, problems of scale and requirement to derive more and better insights from realtime Data issues related to IoT devices going offline Handle data gaps/discrepancies in all calculations","Consolidating multiple data stores into fewer by leveraging data suite of services like BigQuery, Bigtable for time series data The platform supports both batch and streaming analytics workloads with the use of Cloud Dataflow The platform supports hosting the presentation layer along with the data processing layers in a highly available, scalable and secure manner","Supports monitoring, reporting, and analytics for 2,000 wind turbines generating energy across several countries Gains ability to increase power generation, predict component failures, calculate remaining useful life of components, and reduce maintenance costs Increases manufacturing productivity by at least 5% and reduces costs by 10%.",
AI enabled robot on GCP for Massage Robotics,AMER,Manufacturing & Mining (MM),Applied AI,AI enabled robot on GCP for Massage Robotics,An intuitive experience created for customers with recommendation engine capabilities on Google Cloud,The robotic massage service sought to create an touchless robot with the help of real time bot that responds to user queries in real time using Google's Speech to Text capabilities and DialogFlow to create intent based responses reducing operational cost and increased user experience.,Searce Team collaborated with Massage Robotics and executed alongside their team to build a solution: The Searce team helped creating a connection of Dialog Flow and Robot using RTDE We created a pipeline for flow of queries using Google's STT capabilities to the Dialog Flow Searce also build Recommendation Engine on top of Google Cloud ML Services facilitating seamless experience to the end user,"Massage Robotics has deployed it's smart, AI enabled Robot on GCP. Simplified yet intuitive experience for end customers. Ease of use for customers leveraging speech to text interaction. This will be potentially disrupting a $12billion industry that has regularly received backlashes from users around economics, convenience, reputation and privacy Manufacturing | Applied AI",
A custom model to identify scrap,APAC,Manufacturing & Mining (MM),Applied AI,A custom model to identify scrap,A custom model built on Google Cloud ML/AI capabilities to automate the visual inspection of scrap materials for steel manufacturing,A custom model built on Google Cloud ML/AI capabilities to automate the visual inspection of scrap materials for steel manufacturing,"Currently, the value of scrap is based on visual inspectors assessment. The visual inspection is not an accurate way to identify and quantify different type of scrap present in a truckload. Built a Custom Model based on Mask R-CNN Architecture to identify various types of scrap in image and generate instance segmentation mask for them. Calculated percentage value for each type of scrap in the input image of the truck load based on the model output.","Reproducible results Reducing the error rate caused by existing process of visual inspection. Reducing the overall OPEX by automating the process of image capturing, processing and prediction. Manufacturing | Applied AI",
visual inspection,APAC,Manufacturing & Mining (MM),Applied AI,Prescriptive ML Model for NAT Steel,ML prescriptive model trained to reduce the dependency on performing predictive analytics,"Currently, the value of scrap is based on visual inspectors assessment. The visual inspection is not an accurate way to identify and quantify different type of scrap present in a truckload.","Deployed ML Prescriptive Model on GCP's AI Platform. The prescriptive model is to predict top 3 buyers based on the pattern of behaviour Automated the process of preprocessing, training, and prediction of model on a regular interval.",Reduced the manual dependency to perform predictive analysis on the data that gets generated/updated in BigQuery on regular basis. Create a process layer for production deployment modernizing the existing process Make model more robust to add impurity layer and increase accuracy The model identifies the grade constituent with <5% error rate for each category,
It also,APAC,Other Industries,Cloud Modernization,Solar Energy Provider deploys conversational Chatbot,Dialogflow utilized to create a chatbot that provides quick and automated answers to 15+ solar plans,The solar energy provider sought to create an interactive conversational bot using Dialogflow to answer questions around the different energy plans and solar services provided reducing manual interventions across the organization,Created a conversational bot on Facebook Messenger & Custom web portal integrated with the client website. The bot was trained with 150+ FAQs & 20+ intents with detailed answers to energy plans & solar services provided. Created custom web chat client that provides the same user experience as Google Assistant in terms of rich response formats to users. Used Dialogflow to create FAQs & other questions by defining the right entities for handling complex questions. User conversations stored in the GCP datastore to monitor queries & measure bot efficiency,Simplified yet intuitive Dialogflow experience for end customers. It also provides quick and automated answers to questions related to 15+ solar plans using Dialogflow. Manufacturing | Applied AI,
data,AMER,Manufacturing & Mining (MM),Applied AI,Data Warehouse for faster user insights,Arlo works with Searce to drive downstream business use-cases leveraging customer data,Building a data warehouse on GCP to ingest data from Firebase while optimizing cost and efficiency. Integrating Firebase with BigQuery for deeper analytics and creating dashboards of key performance metrics on Tableau with the end goal to improve Arlo's end-user experience.,"NOT applied AI use case Firebase is considered as an input from where the data is being ingested into a pre-processed dataset of BigQuery. From the pre-processed dataset, the data is refined through pipelines and the processed dataset is staged in a master dataset in BigQuery. Materialized views are created on the master dataset keeping cost optimization in consideration. Tableau is integrated with BigQuery and the views are used as data source for the visualization dashboards.","Integrating Firebase data helped in demonstrating user experience journeys. This data is crucial to analyze and find patterns that can help Arlo improve their processes and codebase. Since the Firebase console limits the flexibility to query data at will, we ingested data into Bigquery to further build dashboards in Tableau. Manufacturing | Applied AI",
It also,APAC,Other Industries,Cloud Modernization,Intuitive Chatbot Improves Customer Experience,Dialogflow used to train a bot on 300+ FAQs and 350+ queries,The manufacturer sought to create an interactive conversational bot using dialogflow to answer questions around HR policies and IT approval process reducing manual interventions across the organization.,Created a conversational bot on top of Google Assistant and Custom web portal which was integrated with client's intranet portal. The bot was trained with 300+ FAQs and 100+ intents with detailed answers related to various HR policies and IT approval processes. Created a custom web chat client which provides same user experience as Google Assistant in terms of rich response formats to users. Used Dialogflow to create FAQs and other questions by defining right entities for handling complex questions.,The intuitive conversation bot has significantly improved customer engagement for the automobile manufacturer. It also provides quick and automated answers to questions related to 65+ policies using Dialogflow Manufacturing | Applied AI,
Conversational Bot to handle customer queries,APAC,Manufacturing & Mining (MM),Applied AI,Conversational Bot to handle customer queries,Developed a conversational bot for Mahindra & Mahindra using Google Diaglogflow to handle customer queries,Developed a conversational bot for Mahindra & Mahindra using Google Diaglogflow to handle customer queries,The customer wants to build a chatbot using Dialogflow. This system should be faq based and integrated with their existing setup. Built a Faq based chatbot using Dialogflow. Used Knowledge-Base functionality provided by Dialogflow. Deployed the chatbot with a frontend on GCP's App Engine,The chatbot system we built were used as a backend integration for their Speech to text and text to speech Digital Avatar setup where the responses were coming from the chatbot trained by us. Speech-to-Tex Text-to-Spee t ch Non-,App Engine
It also,APAC,Manufacturing & Mining (MM),Applied AI,Conversational Chatbot,Developed an interactive conversational bot using Dialogflow to answer about different energy plans and solar services,The solar energy provider sought to create an interactive conversational bot using Dialogflow to answer questions around the different energy plans and solar services provided reducing manual interventions across the organization,Created a conversational bot on Facebook Messenger and Custom web portal which was integrated with the client website. The bot was trained with 150+ FAQs and 20+ intents with detailed answers related to various energy plans and solar services provided. The user conversations will be stored in the GCP datastore to monitor user queries and measure the efficiency of the bot.,Simplified yet intuitive Dialogflow experience for end customers. It also provides quick and automated answers to questions related to 15+ solar plans using Dialogflow. Speech-to-Text Text-to-Speech,App Engine
Accurately pinpoint customer,APAC,Manufacturing & Mining (MM),Location Intelligence,Locating Broken Down Vehicles for Pickup,Accurately pinpoint customer's location when in need and identify nearest pickup vehicle and ETA,Get accurate customer's location where their car has broken down Identify nearby pickup trucks and route them to the customer location with the least possible time Calculate accurate ETAs and distances.,Assisted with identifying the correct APIs for their use-cases Helped optimize the usage on Google Maps Platform by suggesting tweaks in use-cases and logic in API consumption Assisted with understanding the API console better and put limits and restrictions on the API consumption,Accurately locate the customer location and easily route service trucks to customer location Decrease in the service time to cater to customer requests Manufacturing | Location Intelligence,Geocoding API Dynamic Map API
At the control centre,APAC,Manufacturing & Mining (MM),Location Intelligence,Employee Tracking for Better Management,Track field force by mapping the entire control center for making informed employee management decisions,"Create a location-based solution to track field force employees that will help in employee management and increase productivity At the control centre - Provide visibility across multiple divisions, business units, and distribution channel through fleet tracking",Helped them to leverage relevant Google Maps functions to achieve the desired use case in the most optimum way possible Optimized API calls to smoothen the variations in GPS reading for accurate visualization of the field force employee with the help of Roads API and Geolocation API,"Efficient API mapping for the control center use case that enable mapping of central hub, distributors and helps the team in making informed strategic decisions Manufacturing | Location Intelligence",Directions API Autocomplete API Roads API Geocoding API
Accurately pinpoint broken down vehicle,APAC,Manufacturing & Mining (MM),Location Intelligence,Breakdown Assistance Program for Trucks on Road,Accurately pinpoint broken down vehicle's location to reduce down time and costs,"Breakdown assistance programme - Looking to reduce down time, NH the lowest possible cost. Identify strategic locations for service center to fulfill SLAs","Effectively implement Distance Matrix and Directions APIs that ensures uptime in reaching the customer and guarantees shortest possible time to put vehicle on the road Optimized API calls to smoothen the variations in GPS reading for accurate visualization of the vehicle with the help of Roads API, and Geolocation API","Timely service maintenance delivered with higher uptimes The strategic locations, 24/7 call center services and factory-certified technicians ensure that they reach the customer within 4 hours of breakdown, and put them back on the road within 48 hours Manufacturing | Location Intelligence",Autocomplete API Roads API Geocoding API Directions API
Graphical visualization on Cloud Search,APAC,Manufacturing & Mining (MM),Software Engineering,Graphical visualization on Cloud Search,KPI data integration & its graphical representation on Cloud Search for a Steel Manufacturing Company,Department wise KPI (Key Performance Indicator) data gets uploaded on BigQuery & SAP Hana database. Tata Steel wants to integrate the KPI data from these sources to Cloud Search and analyse the KPI trend in the form of graphs.,"Fetching the KPI data from different sources to a centralized table in the BigQuery henceforth indexing the data to the Cloud Search via connector. Developed searchable interface for the presentation of KPI data in the form of Line graphs, Bar graphs and Box Plot. Created visualization for real-time and historical data along with comparison of planned versus actual KPI values.",Improved insight of departmental KPI values. Enables to make improved decision and keep track of the performance of the department 32% faster time to result for a search query using Cloud Search,Google Cloud Search
Kirloskar Group,APAC,Manufacturing & Mining (MM),Future of Work,Merger of multiple domains under one family,All Sister concern companies and entities were merged under one Kirloskar group,"Before the pandemic hit, all of the Kirloskar Group was on a variety of different messaging, document editing, and sharing platforms. Was facing challenges with a cluttered email storage, unfriendly video conferencing tools and absence of reliable cloud storage. Need for tools related to streamlining communication and better internal collaboration. With the lockdown in place, Kirloskar wanted a platform that could support their new work from home norms with better cost optimization and increased data security","Migrated 4000 users from On-Prem Exchange 2010, 2016 and M365 Kirloskar Group wanted to eliminate the flaws and costs of their existing platform. With these concerns in mind, Searce introduced the group to Google Workspace, an integrated platform with the best-in-class collaboration tools for business productivity. Simple and efficient collaboration tools Allowed better, faster ways to communicate More than 6 different BU's to be merged under one tree for centralized management of messaging system",60% reduction for cloud storage 50% improvement in collaboration Streamlining management operations Reducing dependency on third-party platforms Seamless and secure access Increased Collaboration (video and asynchronous) Change Management Manufacturing | Future of Work,Tech Stack GSMME
Difficulty with scaling,APAC,Public Sector & Education (PSE),Infra Modernization,Complete Revamp on GCP with Searce,"Reduce costs, improve developer productivity on cloud and support scaling for a growing company using GKE, CloudSQL, etc",Increasing costs with the growth in the user base Difficulty with scaling - rapid changes in demand Management Overhead - restricted from global rollouts Reduced developer productivity - Difficulty to iterate faster,"Thorough POC was executed by deploying one of the critical applications to benchmark several performance metrics on GCP Once the success criteria met, migrated 25 different applications to GCP by deploying the application layer on GKE and its database on Cloud SQL, while using Pub/Sub and Firebase to compare and verify information in real time across most of its applications.",Enabled 24% savings on infrastructure costs per month Helps increase throughput by 8% to provide almost immediate insights for customers Improves latency time by 11% to run applications faster and at scale Enables business simulation applications to scale on demand to serve more organizations that are training their employees,
Current Infrastructure,APAC,Other Industries,Cloud Modernization,AWS to GCP Migration for Global Ed Tech,AWS takeout for largest Edtech worldwide having collaborations with prestigious universities.,Largest global edtech platform with cutting-edge technology to offer best quality education. Current Infrastructure was hosted on AWS. Aims to transition from AWS to Google Cloud Platform (GCP). Planned prioritizing high availability for workloads and implementing disaster recovery (DR) for critical workloads of US region,Landing Zone setup via 9000+ lines TF scripts. NGFW solution for connectivity 40+ VM Migrated using M2VM. Microservices deployed on GCP GKE via Enhanced CI/CD Migrated 350 GB+ of Database via Backup - Restore & DMS method. Migrated 90 TB+ data from S3 to GCS via STS. 08 TB+ of data migration via RSYNC & BlueXP Video Streaming platform migrated to GCP via GCP MediaCDN,"Secure and Scalable CICD & landing zone with Operational excellence. Increased observability via standardized monitoring. Infrastructure Standardization, Upgradation and Modernization with cost saving. Near Zero downtime migration from AWS to GCP. Faster Video content delivery, DR Drill without any disruptions to business operations. Ed Tech | Cloud Modernization Artifact Cloud Cloud Registry Deploy Run Pub/Sub","Google Compute Cloud Memory Kubernetes Engine SQL store Engine, Cloud Monitoring Build"
Improving Security Posture for Soccer Learning App,EMEA,Public Sector & Education (PSE),Infra Modernization,Improving Security Posture for Soccer Learning App,Filling the gaps in in-house cloud expertise on GCP and security resulting in better security posture and robust infra on GKE,Filling the gaps in in-house cloud expertise on GCP and security resulting in better security posture and robust infra on GKE,"Searce's Technical team ran proactive Infra Sec reports that helped identify many issues in the client's security posture The Client used many default settings on GKE that could not be altered. Lack of certified GKE in-house engineers After careful assessment of the client's infrastructure, the GKE experts at Searce started the remediation process (the team created all resources from scratch with the right settings) GCP certified professionals provided impromptu consultative services for many small to medium issues",Fully Secured Infrastructure avoiding any security breaches Automated infrastructure provisioning and hence increased efficiency PS & E | Infra Modernization,
VMs from multiple sources to GCP,APAC,Public Sector & Education (PSE),Infra Modernization,Migrating to GCP and Saving Cloud Costs,"Migrating a sizeable amount of VMs from multiple sources to GCP - improved CI/CD, automation and better security","Migrating a sizeable amount of VMs from multiple sources to GCP - improved CI/CD, automation and better security","Mindvalley's current infrastructure is spread across multiple providers such as AWS, Linode, and GCP. They wanted to consolidate multiple services and cloud providers into a better manageable GKE deployment on Google Cloud Platform. 170+ Linodes (VMs) & 37+ domains running closely dependent applications that were getting difficult to manage. A consolidated list of GCP projects was created to ensure a minimal number of projects are being used as per the defined hierarchy. Searce teams authored Terraform templates and infrastructure as a code was set up for ease of commissioning & decommissioning. Create Highly available & scalable Private GKE cluster & Enable Kubernetes Engine Operations (Monitoring and observability)","This helped the business to scale up easily with the complete infrastructure on GCP and automation through CI/CD pipelines & IaaC, this helped to reduce the time to market of the new releases. Reduction in the overall infrastructure cost. Improvement in the overall security and access management helped to secure the business and smoothen the process",
Customer,APAC,Public Sector & Education (PSE),Infra Modernization,Optimizing IT for a Leading Online Coaching App,"Implementing automation, better security posture and networking tools for an overall robust infrastructure",Customer was looking for cost saving and a easy solution to replace currently used Agora.io which controls all Digital Class Streaming Handling millions of requests of users on the website for video Streaming Live / VOD Significantly reducing cost Working Proof of Concept of Solution Proposed which they were not able to develop internally,Use of Terraform to automate resources creation in GCP. Strong security posture by connecting servers using Identity Aware Proxy (IAP). Implemented Load Balancer to distribute traffic among different backend Servers and SSL authentication through LB (Automated SSL Renewal and Management) Implemented Firebase as a message broker to handle requests and control messages Use of Red5Pro (based on Open Source Red5) to achieve millisecond latency,Enhanced performance and latency with the help of cloud solutions High Availability of the website to users spread across the world ~20-30% reduction in Cloud Spends vs previous Cloud Platform PS & E | Infra Modernization,
Migration of applications to GCP app engine & VM,AMER,Public Sector & Education (PSE),Infra Modernization,Migration of applications to GCP app engine & VM,"Deployment of GCP infrastructure as per best practice, implementation of Google App Engine and CDN",Costing on AZURE App service Automate Infrastructure deployment for multiple environments Ensure current deployment process remains the same as AZURE deployment,Provide solution of GCP migration and Migration of applications to GCP app engine and VM Authored and Provided Terraform scripts Replicated the deployment process on App engine,Post migration on GCP app engine it helps to Prof Jim save upto 95 % savings on cost. PS & E | Infra Modernization,
GCP Client,APAC,Public Sector & Education (PSE),Data & Analytics,Cost Efficient Analytics for a Leading Ed-App,"Comparing multiple analytics technologies and choosing the best for client, deploying the same on GCP","Client was looking for an analytical platform which will help them with their existing workload, keeping in mind cost, performance and storage. Client shortlisted multiple technologies and they required our help in evaluating these for their business requirements",Deployed Trino cluster on private GKE regional cluster and allowed to autoscale as per cpu and memory utilization. Deployed Hive data warehouse on top of GCP Dataproc Cluster. Created external tables in Hive on top of GCS and made tables available on Trino for analysis . Created BigQuery tables from Parquet metadata . Benchmarking of query execution analysis between BigQuery and Trino,"Enabled decision making on which analytics platform to choose based on cost, performance, storage and time PS & E | Data & Analytics",
data,APAC,Public Sector & Education (PSE),Data & Analytics,Improving Recommendations for Coaching Website,Familiarize client with the market leading AI capabilities of GCP by a successful POC of recommendations using AI use-case,Familiarize client with the market leading AI capabilities of GCP by a successful POC of recommendations using AI use-case,"Building a data warehouse in GCP, integrating the application data in DynamoDB with BigQuery for deeper analytics and ML uses case to improve the overall data latency and end-user experience. Migrate the applications from DynamoDB to Firestore for scalability and future growth as next steps. For the Proof of Concept, one-time data pipelines were setup for transforming and uploading semi-structured data (JSON in gzip format) from DynamoDB to BigQuery and Firestore. Data was sourced from AWS S3 into GCS buckets using Cloud Transfer Service and loaded into BigQuery and Firestore using Cloud Dataflow pipelines. Data explorations and an ML model for personalization use case was built and trained using the BigQuery dataset.","To help GeeksforGeeks to familiarise with the landscape and further use GCP as a platform for data and AI use cases, improving their customer experience and business growth. This data is crucial to analyze and find user patterns on the application that can help improve their content and user recommendations. PS & E | Data & Analytics",
POI information Ryde,APAC,Public Sector & Education (PSE),Location Intelligence,Pick up & drop for ride sharing,Using GMP APIs to get accurate address and POI information,"Ryde is a carpooling and ridesharing app headquartered in Singapore As their core business revolves around sending and picking up from precise locations, address is one of the main business requirement","Ryde uses Location intelligence services to solve Inadequate address by using Google's rich places dataset Lack of POI coverage Incorrect location for some addresses and POIs Google Maps Platform is able to provide up to date data therefore overcoming lack of improvements by other mapping providers, especially for Singapore region",Riders face least possible issue in terms of missing or incorrect address and POIs which helps with higher retention on Ryde platform Less manpower allocation from our Customer Excellence team to resolve missing or incorrect address issues faced by riders and drivers PS & E | Location Intelligence,Directions API Geocoding API Roads API Autocomplete API
University,APAC,Public Sector & Education (PSE),Location Intelligence,Indoor Mapping Solution for NTU Singapore,Indoor navigation solution to help students find their way within the large campus,"Large size of the campus and tricky terrain - challenging for new students and visitors to navigate Provide seamless outdoor to indoor navigation to enhance visitor experience Need for a mobile responsive solution that matched the quality of the University's personable service for all visitors, students, and stakeholders","Mapsindoors SDK built on Google Maps for seamless outdoor to indoor navigation Content Management System for easy maintenance Integration of existing applications, kiosks and website with the mapping solution",Reduced student anxiety to reach classroom or any new location within campus Better navigation experience for visitors and new staff PS & E | Location Intelligence,Mapspeople SDK Places API Directions API
Atlan,APAC,ISVs & Emerging Tech,Infra Modernization,Multi-Cloud options for Atlan’s clients,Deploying EKS stack into GCP GKE separate vClusters via Terraform.,Atlan wants to explore GCP/GKE environment leveraging their existing AWS/EKS setup. They wanted to offer their tenant an option to opt for AWS or GCP for deploying the tenant’s application.,Automated the entire Infra setup using Terraform. Automated Application deployment using Argo Workflow and ArgoCD based on customer subscription. Used open source GToken for achieving the secure way to authenticate AWS env from GKE. Modified existing Helm charts with latest version.,Atlan is now able to offer their tenants multi-cloud options for the Atlan products deployment. Provided download of GCP Ecosystem for their stack with respect to their Business objectives. Seamless integration of Tech Stack across cloud environment considering best practices and minimal overhead of Infra management.,"Terraform, GKE, vClusters, Argo Workflow, ArgoCD, GToken, Helm"
Arkham,APAC,ISVs & Emerging Tech,Cloud Modernization,GCP to GCP Infra Migration,Migrating organizational accounts and a single 64TB DB via Striim.,"Arkham wanted an improved, more secure and scalable landing zone with best policies and practices applied. Migration of all services and data to the new environment. Migration of 1 big DB of 64TB while all apps connected to this single instance.","Created new Landing Zone with best practices with integration of monitoring & logging for applications & systems on Google Cloud. Successfully migrated applications, databases, BQ datasets, GCS Buckets & Secrets. Implemented autoscaling for GKE cluster, & upgraded container registry to artifact registry with cleanup policies attached. Completed the complex migration of single DB of 64TB using Striim.",A more secure and scalable landing zone with centralised networking control and standardisation of the environment. Cost optimisations through GKE cluster autoscaling and cleanup policy applied on artifact registry. IAM access controlled at group level.,"Compute Engine, Kubernetes Engine, Cloud SQL, BigQuery, Cloud Storage, Striim, Artifact Registry"
Migrating to GCP for Performance Optimization,AMER,ISVs & Emerging Tech,Infra Modernization,Migrating to GCP for Performance Optimization,Migrated from AWS to GCP. Achieved efficiency in CI/CD and saved costs,Migrate their new and upcoming public cloud infrastructure to GCP to accommodate their technology & business needs in accordance with their growth plans. Move their existing AWS stack to GCP and leverage more GCP services as the business grows. Meet the performance of these migrated services on GCP.,"GCP infrastructure as per best practices using IaaC. Golden image creation for Elasticsearch, Solr, Zookeeper and Wingman services. Deploying Cloud Memorystore(Redis), Cloud SQL MySQL, Solr, Zookeeper, Elasticsearch and deploy Wingman application on GCE. Deploying SSD backed Cloud Filestore, Provisioning GKE cluster and configuring Spot.io Elasticgroup for running PVM based nodes. Deploying Applications to GKE as per best practices.",Successful deployment of GCP infrastructure as per best practices. Achieved operational and deployment efficiency and achieve minimum repeatability of DevOps tools. Achieved latency and acceptance test results on the Google Cloud. ISVs | Infra Modernization,"Elasticsearch and deploy Wingman application on GCE. Deploying SSD backed Cloud Filestore, Provisioning GKE cluster and"
Building a Global Infrastructure for Anti Piracy,AMER,ISVs & Emerging Tech,Infra Modernization,Building a Global Infrastructure for Anti Piracy,"Leveraging GKE, automation with IaaC and GCP DevOps tool to achieve global availability as well as dev efficiency","Leveraging GKE, automation with IaaC and GCP DevOps tool to achieve global availability as well as dev efficiency","Infrastructure and DevOps practices necessary to allow PACE Anti-Piracy, Inc to operate a multi-regional, high-availability presence in GCP, leveraging Kubernetes and Spanner. Build a best-practices global Kubernetes presence for their cloud authorization endpoint. GCP infrastructure as per best practices using IaaC. Multi-Regional GKE Auto-Pilot presence. Cloud Build driven GKE deployment mechanisms for easy deployment of new application versions. Regional GKE Auto Pilot clusters in each region across continents. MultiCluster Ingress service to have global presence.",Global presence of application. Successful deployment of application and capability to manage each region through Cloud Build CI/CD. GCP Spanner for Multi-Regional SQL operations. ISVs | Infra Modernization,
Existing infrastructure,AMER,ISVs & Emerging Tech,Infra Modernization,Improving Scaling for AI Powered Interpretation,"Using multi-regional GKE, GCP Load Balancing for global availability and scaling for Wordly","Scaling GCP infrastructure to meet the spike as per the demand Existing infrastructure was running on VMs with WebSocket protocol for prolonged connection to support end users for complete meeting durations. Expanding to multi region deployments - US, Europe and Asia",GCP infrastructure as per best practices using IaaC. Containerizing existing applications to leverage GKE for multi regional deployments as well as scaling Implementing Multi Cluster Ingress to combine workloads in all regions under a single Load Balancer,Optimised multi region deployment with scaling and rollouts for applications Improved and automated deployment for applications ISVs | Infra Modernization,
